SRR23876586.sra_,Dmel01_NCBI_SRR23876586_R
SRR23876585.sra_,Dmel02_NCBI_SRR23876585_R
SRR23876574.sra_,Dmel03_NCBI_SRR23876574_R
SRR23876564.sra_,Dmel04_NCBI_SRR23876564_R
SRR23876565.sra_,Dmel05_NCBI_SRR23876565_R
SRR23876566.sra_,Dmel06_NCBI_SRR23876566_R
SRR23876567.sra_,Dmel07_NCBI_SRR23876567_R
SRR23876568.sra_,Dmel08_NCBI_SRR23876568_R
SRR23876562.sra_,Dmel09_NCBI_SRR23876562_R
SRR23876563.sra_,Dmel10_NCBI_SRR23876563_R
SRR23876584.sra_,Dmel11_NCBI_SRR23876584_R
SRR23876583.sra_,Dmel12_NCBI_SRR23876583_R
SRR23876582.sra_,Dmel13_NCBI_SRR23876582_R
SRR23876581.sra_,Dmel14_NCBI_SRR23876581_R
SRR23876580.sra_,Dmel15_NCBI_SRR23876580_R
SRR23876579.sra_,Dmel16_NCBI_SRR23876579_R
SRR23876578.sra_,Dmel17_NCBI_SRR23876578_R
SRR23876577.sra_,Dmel18_NCBI_SRR23876577_R
SRR23876576.sra_,Dmel19_NCBI_SRR23876576_R
SRR23876575.sra_,Dmel20_NCBI_SRR23876575_R
SRR23876573.sra_,Dmel21_NCBI_SRR23876573_R
SRR23876572.sra_,Dmel22_NCBI_SRR23876572_R
SRR23876571.sra_,Dmel23_NCBI_SRR23876571_R
SRR23876570.sra_,Dmel24_NCBI_SRR23876570_R
SRR23876569.sra_,Dmel25_NCBI_SRR23876569_R
